Dr/Cr,group of chart acct,,,Ledger,Ledger Name,Currency,balance only 
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4201,PROV.FOR IMPAIRED FINANCING-GENERAL,1 ETB,-6676640.45
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4202,PROV.FOR IMPAIRED FINANCING-SPECIFIC,1 ETB,5538367.91
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4203,LOSS ALLOWANCE-EXPORT,1 ETB,24034500.87
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4204,LOSS ALLOWANCE-IMPORT,1 ETB,6909110.33
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4253,PROVISION FOR OTHER ASSETS,1 ETB,40367888.97
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4257,PROVISION FOR BONUS,1 ETB,74401949.58
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4300,ACCOUNT PAYABLE - INVENTORY,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4301,PAYABLE-TT'S -LOCAL,1 ETB,2745.08
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4302,PAYABLE-TT'S RE-TANSFERED-LOCAL,1 ETB,813213.35
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4303,PAYABLE-CPO'S ISSUED(BANKERS CHEQUE),1 ETB,237677803.5
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4304,PAYABLE-EXCHANGE PAYABLE TO NBE,1 ETB,8950269.5
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4305,PAYABLE-ACCRUED LEAVE PAYABLE,1 ETB,55623022.59
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4306,PAYABLE-ADJUST. & REFUND EXCESS CASH,1 ETB,129302.02
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4307,PAYABLE-AUDIT FEES,1 ETB,412500
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4309,PAYABLE-BLOCKED AMOUNTS-OTHERS,1 ETB,951330.24
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4314,PAYABLE-MISCELLANEOUS,1 ETB,17652931.27
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4315,PAYABLE-SPECIAL BONUS FUND,1 ETB,62218.17
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4316,PAYABLE-MT-103 OFFLINE BRANCH,1 ETB,7945275.88
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4318,PAYABLE-WESTREN UNION-USD,1 ETB,1624.24
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4320,PAYABLE-MONEY GRAM-USD,1 ETB,4220.21
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4332,PAYABLE-HAMISH JIDDIYA,1 ETB,8721992.73
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4333,PAYABLE-CHARITY FUND ACCOUNT,1 ETB,6991655.69
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4338,PAYABLE-CASH COLL.ISSUE-ENDORSE-D.ORDER,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4342,PAYABLE-CENTRALIZED INWARD TRF. (SWIFT),2 USD,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4342,PAYABLE-CENTRALIZED INWARD TRF. (SWIFT),4 EUR,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4345,LCY/FCY  OUTFLOW- SUSPENSE,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4345,LCY/FCY  OUTFLOW- SUSPENSE,2 USD,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4346,PAYABLE-SUSPE. FOR TRAN. VALUE DATE DIFF,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4347,PAYABLE-OTHER (BULK UPLOAD),1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4347,PAYABLE-OTHER (BULK UPLOAD),2 USD,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4348,PAYABLE-CASH MARGINS / LGS,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4349,PAYABLE-CASH MARGINS FOR IBC,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4355,PAYABLE-CASH MARGINS / LC'S,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4356,BLOCK FUND LEDGER - SUSPENSE,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4362,TRANSFERS BY THIRD PARTY SUSPENSE LEDGER,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4367,OUTGOING RTGS FROM FOREIGN REMITTANCE,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4368,ACCOUNT PAYABLE ATM,1 ETB,636680.92
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4369,WALK-IN CUSTOMER PAYABLE,1 ETB,81824.74
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4370,Defined benefit obligation,1 ETB,26925000
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4403,MUR-GOOD FAITH- DTS,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4405,MUR-GOOD FAITH- CONSTRUCTION,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4502,MUR.PROFIT IN SUSPENSE-INDUSTRY,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4504,MUR.PROFIT IN SUSPENSE-IMPORT,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4529,MUR.DEFFERED PROFIT-AGRICULTURE,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4545,MUR- DEFFERED PROFIT INDUSTRY,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4546,MUR- DEFFERED PROFIT DTS,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4547,MUR- DEFFERED PROFIT CONST,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4548,MUR- DEFFERED PROFIT IMPORT,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4549,MUR- DEFFERED PROFIT TRAN & COMM,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4550,MUR- DEFFERED PROFIT HOTEL & TOUR,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4551,MUR- DEFFERED PROFIT CONSUMER & PER,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4552,MUR.DEFFERED PROFIT-MERCHANDISE,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4850,COMMISSION IN ADVANCE-LG,1 ETB,0
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,4999,SUSPENSE BALANCE SHEET IN-BALANCE,1 ETB,-1350230.89
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5101,INT.PAYABLE ON TD-PRIVATE,1 ETB,34496183.41
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5102,INT.PAYABLE ON TD-PUB.AGENCY & ENTERP,1 ETB,11271423.73
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5103,INT.PAYABLE ON TD-COOPERATIVE & ASSO,1 ETB,3181739.23
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5104,INT.PAYABLE ON TD-INSURANCE CO,1 ETB,33519277.37
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5105,INT.PAYABLE ON TD-DOMESTIC BANKS,1 ETB,4132054.8
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5108,INT.PAYABLE ON TD-MICRO FINANCE,1 ETB,6362783.49
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5110,ACCRUED INTEREST ON FIXED TIME DEPOSIT,1 ETB,91970725.99
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5211,PAYABLE-DIVIDENDS,1 ETB,36601184.71
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5221,PAYABLE-INCOME TAX,1 ETB,5575215.8
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5222,PAYABLE-WITHOLDING TAX,1 ETB,1307758.44
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5223,PAYABLE-STAMP DUTY CHARGES,1 ETB,3415810.67
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5224,PAYABLE-TAX ON INTEREST,1 ETB,7175815.68
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5226,PAYABLE-COST SHARING,1 ETB,26521.6
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5227,PAYABLE-PENSION,1 ETB,3036652.65
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5228,PAYABLE-TAX ON CAPITAL GAIN,1 ETB,93510
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5229,PAYABLE-VAT,1 ETB,50884.26
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5240,BRANCHES ACCOUNT WITH CENTER,4 EUR,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5240,BRANCHES ACCOUNT WITH CENTER,2 USD,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5240,BRANCHES ACCOUNT WITH CENTER,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5244,HEAD OFFICE(CENTER) ACCOUNT WITH BRANCH,1 ETB,-1286304351
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5244,HEAD OFFICE(CENTER) ACCOUNT WITH BRANCH,3 GBP,1694791.14
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5244,HEAD OFFICE(CENTER) ACCOUNT WITH BRANCH,2 USD,1277242366
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5244,HEAD OFFICE(CENTER) ACCOUNT WITH BRANCH,4 EUR,7367194.46
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5251,UNEARNED INCOME-OFFICE RENT,1 ETB,4643214.57
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5253,DEFERRED INCOME-GUARANTEE SERV. CHARGE,1 ETB,10544304.36
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5254,DEFERRED INCOME-LC SERVICE CHARGE,1 ETB,24896871.87
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5255,DEFERRED INCOME-ESTIMATION FEE-LOAN,1 ETB,2923892.18
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5282,DEFERRED TAX LIABILITY,1 ETB,13902274.41
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5291,ACCUM.DEP.-COMPUTERS AND ACCESSORY,1 ETB,70633164.04
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5292,ACCUM.DEP.-OFFICE & OTHER EQUIPMENT,1 ETB,56102017.95
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5293,ACCUM.DEP.-FURNITURE & FITTINGS,1 ETB,37527346.62
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5294,ACCUM.DEP.-MOTOR VEHICLE,1 ETB,91044846.43
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5295,ACCUM.DEP.-BUILDINGS,1 ETB,26678124.81
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5312,ACCUM.IMPA.OF OFFICE & OTHER EQUIPMENT,1 ETB,20348.7
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5313,ACCUM.IMPA.OF FURNITURE & FITTINGS,1 ETB,1449.44
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5314,ACCUM.IMPA.OF MOTOR VEHICLE,1 ETB,16068.78
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5332,ACCUM.AMORT.OF CORE BANKING SOFTWARE,1 ETB,39248048.54
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5355,ACCUM.AMORT.OF LEASE HOLD LAND,1 ETB,456991.96
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5502,PAYABLE-SUSPENSE SPECIAL VOUCHER,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5503,PAYABLE-OTCP SUSPENSE LEDGER,1 ETB,9743822.75
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5701,SHARE CAPITAL,1 ETB,2385981000
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5702,SHARE PREMIUM,1 ETB,7693740
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5703,RETAINED EARNINGS,1 ETB,1016372477
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5704,LEGAL RESERVE,1 ETB,457284955.7
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5706,PROFIT AND LOSS AT HO,1 ETB,-25.89
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5707,SPECIAL RESERVE,1 ETB,-9797000
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,5716,REGULATORY RISK RESERVE,1 ETB,145605096.4
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6001,IMPORT LC-CLIENT,4 EUR,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6001,IMPORT LC-CLIENT,2 USD,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6001,IMPORT LC-CLIENT,6 JPY,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6003,IMPORT TIME LC-CLIENT,4 EUR,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6005,OUTWARD BILLS FOR COLLECTION,2 USD,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6006,INWARDS BILLS FOR COLLECTION,2 USD,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6006,INWARDS BILLS FOR COLLECTION,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6006,INWARDS BILLS FOR COLLECTION,4 EUR,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6009,INWARD BC-ACCEPTED GUARANTEED DRAFTS,4 EUR,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6013,CUSTOMERS UNDERTAK./ENDORSED G.D.ORDERS,2 USD,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6016,LG-CLIENTS,1 ETB,-1370991873
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6018,BANK UNDERTAKING EXPORT LC SIGHT CUSTOME,2 USD,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6023,EXPORT LC SIGHT-COMPLAINT DOCUMENT,2 USD,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6035,MUR.CUSTOMER UNDERTAKING-DTS,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6036,MUR.CUSTOMER UNDERTAKING-IMPORT,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6037,MUR.CUSTOMER UNDERTAKING-CONSTRUCTION,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6050,MUR.GOODS IN TRANSIT-DTS,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6056,LG-FOREIGN-CLIENT,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6058,MONEY BAGS COST,1 ETB,-15222
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6059,INTEREST ON NON-PERFORMING LOANS,1 ETB,-46423391.09
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6117,MEMO MAR.CUST.INTEREST OD,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6137,MEMO MAR.CUST.INT.OD TRANSPORT & COM.,1 ETB,-29115.5
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6138,MEMO MAR.CUST.INT.OD CONSTRUCTION,1 ETB,-103552.84
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6140,MEMO MAR.CUST.INT.OD EXPORT PRESHIPMENT,1 ETB,-2981806.39
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6143,MEMO MAR.CUST.INT.OD EXPORT,1 ETB,-1746716.04
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6144,MEMO MAR.CUST.INT.OD INDUSTRY,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6401,INT.CHA.LAST MONTH LEGAL-DTS T/L,1 ETB,-12679346.98
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6402,ARR.INT.CHA.LAST MONTH LEGAL-DTS T/L,1 ETB,-11599171.88
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6407,INT.CHA.LAST MONTH LEGAL-AGRICULTURE T/L,1 ETB,-1086593.33
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6408,ARR.INT.CHA.LAST MONTH LEGAL-AGRICUL T/L,1 ETB,-1195666.85
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6413,INT.CHA.LAST MONTH LEGAL-INDUSTRY T/L,1 ETB,-5006926.15
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6414,ARR.INT.CHA.LAST MONTH LEGAL-INDUSTR T/L,1 ETB,-3463029.82
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6419,INT.CHA.LAST MONTH LEGAL-EXPORT T/L,1 ETB,-4452362.13
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6420,ARR.INT.CHA.LAST MONTH LEGAL-EXPORT T/L,1 ETB,-3321739.09
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6425,INT.CHA.LAST MONTH LEGAL-IMPORT T/L,1 ETB,-4506635.16
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6426,ARR.INT.CHA.LAST MONTH LEGAL-IMPORT T/L,1 ETB,-1794831.87
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6430,INT.CHA.LAST MONTH LEGAL-CONSTRUCTIO T/L,1 ETB,-10386635.51
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6431,ARR.INT.CHA.LAST MONTH LEGAL-CONSTRU T/L,1 ETB,-9228688.51
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6436,INT.CHA.LAST MONTH LEGAL-TRANS.& COM T/L,1 ETB,-436270.89
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6437,ARR.INT.CHA.LAST MONTH LEGAL-TRANSPO T/L,1 ETB,-381501.78
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6442,INT.CHA.LAST MONTH LEGAL-HOTEL & TOU T/L,1 ETB,-10816500.12
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6443,ARR.INT.CHA.LAST MON-LEGA-HOTEL & TOR-TL,1 ETB,-8863472.97
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6460,INT.CHA.LAST MONTH LEGAL-MORTG.STAFF T/L,1 ETB,-605269.28
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6461,ARR.INT.CHA.LAST MONTH LEGAL-MORT.ST T/L,1 ETB,-501555.81
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6472,INT.CHA.LAST MONTH LEGAL-MORTG.CUSTO T/L,1 ETB,-194525.21
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6473,ARR.INT.CHA.LAST MONTH LEGAL-MORT.CU T/L,1 ETB,-165290.26
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6478,INT.CHA.LAST MONTH LEGAL-PERSO.STAFF T/L,1 ETB,-75157.87
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6479,ARR.INT.CHA.LAST MONTH LEGAL-PERS.ST T/L,1 ETB,-61551.79
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6490,ARR.INT.CHA.LAST MONTH LEGAL-PERS.CU T/L,1 ETB,-7980.57
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6526,INT.CHA.LAST MONTH LEGAL-PERS.CUSTOM T/L,1 ETB,-9063.75
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6527,INT.CHA.LAST MONTH LEGAL-AGRI.MERCEN T/L,1 ETB,-1290743.21
1 ASSETS,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,6999,SUSPENSE TRADE FINANCE,1 ETB,-0.8
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7001,INT.EXPENSE TD-PRIVATE,1 ETB,-34496183.41
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7002,INT.EXPENSE TD-PUBLIC AGENCY & ENTERP,1 ETB,-11271423.73
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7003,INT.EXPENSE TD-COOPERATIVE & ASSO,1 ETB,-3181739.23
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7004,INT.EXPENSE TD-INSURANCE CO,1 ETB,-33519277.37
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7005,INT.EXPENSE TD-DOMESTIC BANKS,1 ETB,-4132054.8
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7007,INT.EXPENSE TD-REGIONAL GOV'T,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7008,INT.EXPENSE TD-MICRO FINANCE,1 ETB,-6362783.49
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7301,SALARY EXP.-MANAGERIAL-STAFF,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7302,SALARY EXP.-CLERICAL-STAFF,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7303,SALARY EXP.-NON CLERICAL-STAFF,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7304,SALARY EXP.-CONTRACT EMPLOYEE,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7351,EMP.BEN.EXP.-REPRESENTATION ALLOWANCE,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7352,EMP.BEN.EXP.-FUEL & TRANSPORT ALLOWANCE,1 ETB,0
2 LIABILITIES,,999,H.O OF OROMIA INTERNATIONAL BANK S.C.,7353,EMP.BEN.EXP.-UTILITY ALLOWANCES,1 ETB,0
